year,quarter,CFO,CFF,CFI,ending_cash_balance,net_change_in_cash,revenue,cost_of_goods_sold,gross_profit,net_income,operating_expenses,operating_income,accounts_receivable,inventory,accounts_payable,tax_expense,interest_expense,total_assets,total_equity,total_liabilities,da_expense,date,EBITDA,capex,inflow,outflow,netcashflow,current_assets,noncurrent_assets,noncurrent_liabilities,interest_bearing_Debt,current_liabilities
2016,Q1,560596,-7421,-356360,8847163,191601,3928723,2230147,1698576,958008,620528,1080656,2559418,1852936,934321,-272386,-3392,28208835,24821132,3387703,249175,2016-03-31,1329831,"355,817",4509717,4312902,196815,13612692,14596143,1069608,112230,2318095
2016,Q2,910291,-1530488,-274162,7949285,-897878,3813181,2276824,1536357,1471157,663139,887289,2432875,1631031,911486,585005,-3323,27787225,24761160,3026065,237983,2016-06-30,1125272,193701,4461040,5356399,-895359,12550347,15236878,749257,109234,2276808
2016,Q3,263468,-4045,-306066,7897846,-51439,3604626,2112921,1491705,718400,656928,821360,2725819,1736297,684438,-213440,-2564,27984857,25477930,2506927,243061,2016-09-30,1064421,320487,3882612,3929255,-46643,12816252,15168605,739845,105400,1767082
2016,Q4,1811758,-5258,-37371,9674030,1776184,4015364,2410541,1604823,722754,773275,855290,2605323,1780410,1518841,176134,-2544,30150580,26138703,4011877,263061,2016-12-31,1118351,40329,4769788,3000659,1769129,14424622,15725958,824135,107184,3187742
2017,Q1,-48115,-3652,-274611,9346294,-327736,3376412,2212475,1163937,491562,665302,499792,2449245,2017991,1027109,-131015,-2997,29840498,26630305,3210193,272346,2017-03-31,772138,273454,4008733,4335111,-326378,14129930,15710568,812054,103853,2398139
2017,Q2,790923,-3418736,-192402,6531929,-2814365,3167306,2090020,1077286,410278,687414,394842,2459982,2020870,1173558,-103636,-2439,27293770,23621349,3672421,266182,2017-06-30,661024,198060,3606502,6426717,-2820215,11680755,15613015,806667,103838,2865754
2017,Q3,508794,-289,-87174,6967978,416839,3968858,2585529,1383329,504640,818024,569861,2791588,1692820,1169659,-146679,-3865,27453589,24127176,3326413,306629,2017-09-30,876490,83421,3205005,2778829,426176,11883740,15569849,798847,104893,2527566
2017,Q4,1530203,-1872,-206501,8294891,1321830,3918635,2535466,1383169,453338,909463,410350,2484800,1768603,1548844,-46126,-4792,28863676,24556507,4307169,332879,2017-12-31,743229,214084,5576460,4254630,1321830,12883074,15980602,828145,107989,3479024
2018,Q1,-189831,-666,-144772,7972613,-335269,3439508,2452689,986819,264265,758188,236668,2656650,1889499,1201362,-61050,-5803,28606339,24821731,3784608,320402,2018-03-31,557070,142246,3702702,4037971,-335269,12827137,15779202,818853,109190,2965755
2018,Q2,279503,-2576567,-147405,5545386,-2414236,3044900,2332147,712753,90841,710130,18067,2521603,2003688,1478483,-10036,-7563,26461200,22336317,4124883,294986,2018-06-30,313053,156417,3478449,5922918,-2444469,10721283,15739917,803877,113740,3321006
2018,Q3,338506,-564,-127744,5788773,233387,4288449,3109517,1178932,262585,913438,271942,3142850,1845875,1425284,-72340,-6529,26634347,22599659,4034688,343797,2018-09-30,615739,124849,3997043,3786845,210198,11170522,15463825,784671,117353,3250017
2018,Q4,1556354,-816,-85171,7225876,1416945,4417426,2926901,1490525,528246,940794,547434,2965777,1837769,1759956,-110865,-5295,27788562,23221589,4566973,320377,2018-12-31,867811,90668,5448750,3978383,1470367,12315796,15472766,641324,116132,3925649
2019,Q1,-39803,-536,-194001,6979294,-234367,3732756,2569145,1163611,396945,788377,395034,3107866,1941844,1385203,-102385,-2583,27543528,23618303,3925225,307082,2019-03-31,702116,194996,4049770,4284137,-234367,12337003,15206525,635376,114053,3289849
2019,Q2,907098,-2024815,-166643,5689401,-1284353,3249854,2270872,978982,243083,768827,195171,2708926,2023719,1393138,-54384,-1790,25852869,21836655,4016214,274798,2019-06-30,469969,171768,4088367,5372720,-1284353,10836563,15016306,677382,112782,3338832
2019,Q3,634065,-394,-294277,6026375,339414,4365299,2830314,1534985,535760,934899,618374,3174624,1906864,1256008,-156900,-1517,26378871,22372354,4006517,292591,2019-09-30,910965,264712,4445700,4106286,339.414,11518398,14860473,686005,112758,3320512
2019,Q4,2029412,-612,-391045,7651750,1637755,4591439,2768700,1822739,659517,1011127,696476,2984151,1895176,1748776,-125453,-1848,27707749,23080261,4627488,326124,2019-12-31,1022600,395772,5342435,3697973,1644462,12829494,14878255,754001,110283,3873487
2020,Q1,180464,-2125,-220012,7758438,-41673,3362755,2298298,1064457,400432,770933,386374,2577111,2016477,1369174,-57732,-8153,27381603,23482688,3898915,331379,2020-03-31,717753,224302,3878216,3919889,-41673,12649408,14732195,696005,128438,3202910
2020,Q2,318058,876,-177525,7780338,141259,2812485,1997011,815474,69597,694383,-8599,2298729,1833107,1132406,-21878,15256,27037394,23538141,3499253,243039,2020-06-30,234440,184375,3803324,3662821,140503,12294117,14743277,788381,112584,2710872
2020,Q3,941455,-1840962,-90640,6834767,-990007,3974314,2416747,1557567,646718,844250,736028,2855082,1790843,1341957,-163053,-5784,26337588,22344865,3992723,310596,2020-09-30,1046624,77904,3907379,4897386,-990007,11823278,14514310,783414,116473,3209309
2020,Q4,2098034,-1020487,-173557,7697631,903999,4034768,2358714,1676054,689590,843949,762142,2584652,1823772,1580229,-99328,-39059,27344672,22176248,5168424,517029,2020-12-31,1279171,191983,4715806,4784803,-68997,12299306,15045366,952468,500711,4215956
2021,Q1,292976,-53580,-32454,7929148,206942,3438045,2338465,1099580,351317,735261,395492,2618806,1818668,1394606,-87917,-13111,27332062,22527835,4804227,335506,2021-03-31,730998,32425,3808885,3601943,206942,12569844,14762218,912199,478874,3892028
